,link,valor,condominio,iptu,quartos,tamanho,vagas,banheiros,andar,mobilia,bairro,latitude,longitude,região
91,https://www.quintoandar.com.br/imovel/894379949/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,390.0,360.0,74.0,2,45,1,2,Até 3° andar,Sem mobília,jardim nova europa campinas,-22.9304653,-47.0602217,1
92,https://www.quintoandar.com.br/imovel/892785342/comprar/apartamento-2-quartos-vila-progresso-campinas,320.0,550.0,83.0,2,60,1,1,4° a 7° andar,Sem mobília,vila progresso campinas,-22.9290016,-47.0347392,1
93,https://www.quintoandar.com.br/imovel/894362757/comprar/apartamento-2-quartos-vila-joao-jorge-campinas,352.0,710.0,61.0,2,70,1,2,8° a 11° andar,Sem mobília,vila joao jorge campinas,-22.9176365,-47.0559597,2
94,https://www.quintoandar.com.br/imovel/893819716/comprar/apartamento-2-quartos-jardim-do-lago-campinas,280.0,370.0,49.0,2,52,1,1,4° a 7° andar,Sem mobília,jardim do lago campinas,-22.9372266,-47.0869942,0
95,https://www.quintoandar.com.br/imovel/894250653/comprar/apartamento-2-quartos-jardim-chapadao-campinas,265.0,422.0,43.0,2,71,1,1,Até 3° andar,Sem mobília,jardim chapadao campinas,-22.8945197,-47.0771981,2
96,https://www.quintoandar.com.br/imovel/893183607/comprar/apartamento-3-quartos-jardim-santa-genebra-campinas,390.0,476.0,91.0,3,78,1,2,Até 3° andar,Sem mobília,jardim santa genebra campinas,-22.8543746,-47.0674869,2
97,https://www.quintoandar.com.br/imovel/894412723/comprar/apartamento-3-quartos-vila-marieta-campinas,280.0,400.0,77.0,3,57,1,1,Até 3° andar,Mobiliado,vila marieta campinas,-22.9399293,-47.0477989,1
98,https://www.quintoandar.com.br/imovel/893184330/comprar/apartamento-2-quartos-jardim-bom-sucesso-campinas,299.99,497.0,55.0,2,56,1,2,4° a 7° andar,Sem mobília,jardim bom sucesso campinas,-22.9290016,-47.0347392,1
99,https://www.quintoandar.com.br/imovel/893742407/comprar/apartamento-2-quartos-cambui-campinas,395.0,670.0,96.0,2,86,1,2,12° a 15° andar,Sem mobília,cambui campinas,-22.905596,-47.0515931,2
100,https://www.quintoandar.com.br/imovel/893459057/comprar/apartamento-2-quartos-vila-industrial-campinas-campinas,208.0,305.0,31.0,2,56,1,1,4° a 7° andar,Sem mobília,vila industrial campinas campinas,-22.9121837,-47.0837779,0
101,https://www.quintoandar.com.br/imovel/894427004/comprar/apartamento-2-quartos-jardim-andorinhas-campinas,210.0,495.0,32.0,2,58,1,1,Até 3° andar,Sem mobília,jardim andorinhas campinas,-22.9205141,-47.0179526,1
102,https://www.quintoandar.com.br/imovel/894294453/comprar/apartamento-3-quartos-jardim-nova-europa-campinas,380.0,400.0,80.0,3,64,1,2,Até 3° andar,Sem mobília,jardim nova europa campinas,-22.930534,-47.0571236,1
103,https://www.quintoandar.com.br/imovel/894392344/comprar/apartamento-3-quartos-vila-paraiso-campinas,277.0,520.0,9.0,3,81,1,2,Até 3° andar,Sem mobília,vila paraiso campinas,-22.9151441,-47.0437731,2
104,https://www.quintoandar.com.br/imovel/894422622/comprar/apartamento-2-quartos-loteamento-parque-sao-martinho-campinas,230.0,310.0,30.0,2,49,1,1,4° a 7° andar,Sem mobília,loteamento parque sao martinho campinas,-22.9554868,-47.0584491,1
106,https://www.quintoandar.com.br/imovel/894461840/comprar/apartamento-2-quartos-jardim-andorinhas-campinas,199.0,500.0,41.0,2,65,1,1,Até 3° andar,Mobiliado,jardim andorinhas campinas,-22.9211828,-47.0176268,1
107,https://www.quintoandar.com.br/imovel/894405334/comprar/apartamento-2-quartos-vila-joao-jorge-campinas,370.0,764.0,60.0,2,77,1,1,8° a 11° andar,Sem mobília,vila joao jorge campinas,-22.9176365,-47.0559597,2
108,https://www.quintoandar.com.br/imovel/893370100/comprar/apartamento-2-quartos-bosque-campinas,300.0,500.0,78.0,2,82,1,1,Até 3° andar,Mobiliado,bosque campinas,-22.9095908,-47.04729,2
109,https://www.quintoandar.com.br/imovel/894443092/comprar/apartamento-2-quartos-parque-camelias-campinas,250.0,210.0,55.0,2,57,1,1,Até 3° andar,Sem mobília,parque camelias campinas,-22.9050824,-47.0613327,2
110,https://www.quintoandar.com.br/imovel/894431423/comprar/apartamento-2-quartos-vila-industrial-campinas,280.0,800.0,42.0,2,62,1,2,Até 3° andar,Sem mobília,vila industrial campinas,-22.9112244,-47.0711741,2
111,https://www.quintoandar.com.br/imovel/894296828/comprar/apartamento-2-quartos-jardim-novo-cambui-campinas,275.0,330.0,394.0,2,70,1,2,Até 3° andar,Mobiliado,jardim novo cambui campinas,-22.886705,-47.0430552,2
112,https://www.quintoandar.com.br/imovel/894363821/comprar/apartamento-2-quartos-parque-industrial-campinas,290.0,250.0,60.0,2,60,1,1,Até 3° andar,Sem mobília,parque industrial campinas,-22.9192736,-47.0845759,0
113,https://www.quintoandar.com.br/imovel/892941216/comprar/apartamento-2-quartos-bosque-campinas,378.0,750.0,125.0,2,78,2,1,Até 3° andar,Sem mobília,bosque campinas,-22.905878,-47.0496801,2
114,https://www.quintoandar.com.br/imovel/893525959/comprar/apartamento-2-quartos-cambui-campinas,350.0,645.0,97.0,2,82,1,1,Até 3° andar,Sem mobília,cambui campinas,-22.8878966,-47.0483396,2
115,https://www.quintoandar.com.br/imovel/894441610/comprar/apartamento-2-quartos-bosque-campinas,370.0,750.0,105.0,2,97,1,3,4° a 7° andar,Sem mobília,bosque campinas,-22.9118445,-47.0543126,2
116,https://www.quintoandar.com.br/imovel/893342885/comprar/apartamento-2-quartos-jardim-do-lago-continuacao-campinas,235.0,270.0,31.0,2,52,1,1,Até 3° andar,Sem mobília,jardim do lago continuacao campinas,-22.9482257,-47.0869384,0
117,https://www.quintoandar.com.br/imovel/894425009/comprar/apartamento-2-quartos-jardim-pauliceia-campinas,217.0,490.0,34.0,2,68,1,1,Até 3° andar,Sem mobília,jardim pauliceia campinas,-22.9175036,-47.1015699,0
118,https://www.quintoandar.com.br/imovel/894413400/comprar/apartamento-2-quartos-vila-industrial-campinas,385.0,450.0,8.0,2,57,1,1,4° a 7° andar,Mobiliado,vila industrial campinas,-22.9110704,-47.0616003,2
119,https://www.quintoandar.com.br/imovel/893996991/comprar/apartamento-2-quartos-vila-industrial-campinas-campinas,320.0,800.0,67.0,2,68,1,2,8° a 11° andar,Sem mobília,vila industrial campinas campinas,-22.9112244,-47.0711741,2
