link,valor,condominio,iptu,quartos,tamanho,vagas,banheiros,andar,mobilia,localização
https://www.quintoandar.com.br/imovel/892785342/comprar/apartamento-2-quartos-vila-progresso-campinas,320.0,550.0,12x R$ 83,2.0,60.0,1.0,1.0,4° a 7° andar,Sem mobília,"22.9290016,-47.0347392"
https://www.quintoandar.com.br/imovel/894362757/comprar/apartamento-2-quartos-vila-joao-jorge-campinas,352.0,710.0,12x R$ 61,2.0,70.0,1.0,2.0,8° a 11° andar,Sem mobília,"22.9176365,-47.0559597"
https://www.quintoandar.com.br/imovel/893819716/comprar/apartamento-2-quartos-jardim-do-lago-campinas,280.0,370.0,12x R$ 49,2.0,52.0,1.0,1.0,4° a 7° andar,Sem mobília,"22.9372266,-47.0869942"
https://www.quintoandar.com.br/imovel/894250653/comprar/apartamento-2-quartos-jardim-chapadao-campinas,265.0,422.0,12x R$ 43,2.0,71.0,1.0,1.0,Até 3° andar,Sem mobília,"22.8945197,-47.0771981"
https://www.quintoandar.com.br/imovel/893183607/comprar/apartamento-3-quartos-jardim-santa-genebra-campinas,390.0,476.0,12x R$ 91,3.0,78.0,1.0,2.0,Até 3° andar,Sem mobília,"22.8543746,-47.0674869"
https://www.quintoandar.com.br/imovel/894412723/comprar/apartamento-3-quartos-vila-marieta-campinas,280.0,400.0,12x R$ 77,3.0,57.0,1.0,1.0,Até 3° andar,Mobiliado,"22.9399293,-47.0477989"
https://www.quintoandar.com.br/imovel/893184330/comprar/apartamento-2-quartos-jardim-bom-sucesso-campinas,299.99,497.0,12x R$ 55,2.0,56.0,1.0,2.0,4° a 7° andar,Sem mobília,"22.9290016,-47.0347392"
https://www.quintoandar.com.br/imovel/893742407/comprar/apartamento-2-quartos-cambui-campinas,395.0,670.0,12x R$ 96,2.0,86.0,1.0,2.0,12° a 15° andar,Sem mobília,"-22.905596,-47.0515931"
https://www.quintoandar.com.br/imovel/893459057/comprar/apartamento-2-quartos-vila-industrial-campinas-campinas,208.0,305.0,12x R$ 31,2.0,56.0,1.0,1.0,4° a 7° andar,Sem mobília,"22.9121837,-47.0837779"
https://www.quintoandar.com.br/imovel/894427004/comprar/apartamento-2-quartos-jardim-andorinhas-campinas,210.0,495.0,12x R$ 32,2.0,58.0,1.0,1.0,Até 3° andar,Sem mobília,"22.9205141,-47.0179526"
https://www.quintoandar.com.br/imovel/894294453/comprar/apartamento-3-quartos-jardim-nova-europa-campinas,380.0,400.0,12x R$ 80,3.0,64.0,1.0,2.0,Até 3° andar,Sem mobília,"-22.930534,-47.0571236"
https://www.quintoandar.com.br/imovel/894392344/comprar/apartamento-3-quartos-vila-paraiso-campinas,277.0,520.0,12x R$ 9,3.0,81.0,1.0,2.0,Até 3° andar,Sem mobília,"22.9151441,-47.0437731"
https://www.quintoandar.com.br/imovel/894422622/comprar/apartamento-2-quartos-loteamento-parque-sao-martinho-campinas,230.0,310.0,12x R$ 30,2.0,49.0,1.0,1.0,4° a 7° andar,Sem mobília,"22.9554868,-47.0584491"
