Player_id,Team_id,Name,Role,Kills_avg,Assists_avg,Deaths_avg,CS/min,Gold/min,Damage/min,Vision/min
184,30,Gumayusi,Bot,4.166666666666667,5.555555555555555,1.7777777777777777,8.663301551691921,459.8392222845401,606.2609833613772,1.8115535614133518
185,101,Gury,Jungle,1.75,7.5,3.5833333333333335,5.679271144078037,323.14036926549977,311.61976941062596,1.9325969523502347
186,91,H4cker,Jungle,1.125,5.8125,2.9375,5.700712589073623,313.39477434679276,286.4247030878854,1.601900237529688
187,20,Haeri,Mid,5.071428571428571,7.571428571428571,1.9285714285714286,9.177899210686096,465.8822100789314,773.4669095324833,1.1341833636915604
188,90,haichao,Mid,3.25,4.75,2.4375,9.362390825124907,428.38797890448586,663.7235259647875,1.2908446577559556
189,78,Halo,Support,1.0,5.5,5.5,1.0783055198973113,244.37098844672815,252.43902439024555,2.3876765083440463
190,46,Hanabi,Top,2.0,2.0,1.5,8.315294117647097,366.63529411764875,460.6588235294139,1.2705882352941236
191,17,Hans Sama,Bot,5.190476190476191,7.0,1.7142857142857142,8.785610260865132,450.6323615830762,627.56636602877,1.2754541505914831
192,50,Harp,Support,1.45,12.35,2.55,1.5346038114343001,303.1728518889998,315.3493814777661,3.68271481109996
193,47,Hasmed,Top,3.7,4.6,2.8,9.263891736723377,425.1148246873069,578.2150912446164,1.257945458273526
194,72,Hauz,Mid,3.8,9.3,1.6,8.542088065971656,428.4829625019436,739.7510502567271,1.0238058192002457
195,34,Hena,Bot,2.789473684210526,4.0,2.6315789473684212,8.577171091198407,398.9699355162891,564.9577087346129,1.6028808307511961
196,97,Heng,Jungle,1.4,5.933333333333334,3.466666666666667,4.924986404785531,300.9711781452938,246.85774607338294,1.6928441188701628
197,87,Hery,Top,1.7333333333333334,5.066666666666666,2.466666666666667,8.015548281505746,362.51841243862594,472.6084288052383,1.0720130932896912
198,54,hetel,Support,0.75,8.1,3.05,1.1958978882946494,249.50102001433598,168.13034129128343,3.0319236919005426
199,19,Hexflash,Support,0.7857142857142857,10.214285714285714,2.5714285714285716,1.106210513768035,255.00298009298012,184.8849684110153,2.7536059125044834
200,36,Hidan,Top,2.0,3.611111111111111,3.111111111111111,7.946758265349936,362.8716187204809,509.2434521253757,0.9171318162301417
201,67,Hieu3,Support,0.75,7.75,3.0,1.1738750364234316,249.91050243516716,149.15206260666912,3.8513091620530457
202,47,Hiro02,Top,1.25,6.5,3.5,9.002925402242765,411.9551438322749,420.2194051682086,1.1701608971233488
203,3,hongQ,Mid,7.0,10.833333333333334,2.6666666666666665,9.17624521072797,535.6194125159643,900.2171136653895,1.079182630906769
204,83,Hoopa,Bot,2.5,5.583333333333333,3.75,7.232285562067109,386.48641449120834,540.484816196056,1.8247202983484234
205,87,Hope,Bot,4.533333333333333,4.666666666666667,1.6666666666666667,7.109247135842895,401.4934533551563,657.344517184944,2.207446808510643
206,43,HowLa,Bot,2.25,2.75,3.5,8.311383273215347,368.6536364398965,530.3732908313068,1.0368257696501986
207,96,HOYA,Top,2.5384615384615383,3.8461538461538463,3.0,7.483216783216778,357.3083916083914,433.7958041958039,1.149650349650349
208,54,HRK,Jungle,1.7,7.45,2.8,4.944037051331545,308.5449633346206,272.44472625020745,1.6458069140431204
209,77,huhi,Support,1.5555555555555556,7.333333333333333,2.7777777777777777,3.1951650607218163,283.3844574947257,213.87080221221254,3.0720109470323242
210,18,Humanoid,Mid,3.772727272727273,5.681818181818182,2.9545454545454546,8.87413951611094,422.4243783214113,723.2383344171125,1.1045586025965861
211,39,Husha,Jungle,4.111111111111111,8.444444444444445,2.4444444444444446,6.302611828279769,379.07715400780387,403.0933653557473,1.459021314920438
212,14,Hylissang,Support,1.3333333333333333,8.133333333333333,5.133333333333334,1.328905929070247,258.306860194441,235.78734766534333,3.530740791455571
213,10,Hyo,Jungle,2.375,9.25,4.5,4.804429615958003,334.6276709022522,314.4345850784429,1.5886988003123537
214,11,Ice,Bot,4.333333333333333,5.428571428571429,1.8571428571428572,9.626528975335876,448.6088830960499,525.8286545017047,1.4602967716061768
215,52,ICU,Top,2.25,3.4375,3.6875,7.769416441857152,354.58185432344123,525.7667187278141,0.9839557006957249
216,16,IgNar,Support,0.6153846153846154,6.6923076923076925,2.1538461538461537,1.3872832369942245,244.3990139408373,187.58160489629444,3.593165589935409
217,35,IgnaVilu,Support,0.8571428571428571,7.285714285714286,2.6666666666666665,1.3451239257690897,255.58699713538473,168.45883671690157,4.033877195167526
218,67,Ikigai,Jungle,2.3333333333333335,6.666666666666667,3.1666666666666665,5.7020355492653065,333.5778212546321,285.893518711236,1.6559130832951812
219,59,Impact,Top,2.111111111111111,3.4444444444444446,1.8888888888888888,7.426365140650873,361.9492553778277,474.7446221731947,0.8670711527854406
220,53,Ino,Support,1.0,7.65,3.2,2.349302861935211,267.4698605723868,178.282838871999,3.3132403815913585
221,100,Insanity,Mid,2.111111111111111,4.444444444444445,3.111111111111111,7.293603744149746,347.1014040561613,405.8059282371284,1.0483619344773762
222,62,Inspired,Jungle,2.3333333333333335,6.444444444444445,1.6666666666666667,6.469002695417782,351.8916932124475,306.45062484685087,1.4665523156089175
223,84,Invictis,Jungle,2.8333333333333335,5.333333333333333,2.6666666666666665,6.235152809288686,348.29574269318124,336.9411450687317,1.3612705191512113
224,23,Irrelevant,Top,3.235294117647059,4.647058823529412,2.235294117647059,7.944526371936875,389.97458504596676,542.6488029870418,1.0730758369677769
225,63,Isles,Support,0.6666666666666666,10.0,2.0,1.9093163301452354,263.9284449167552,232.77364505844844,3.2483173928444917
226,23,ISMA,Jungle,1.588235294117647,8.470588235294118,2.5294117647058822,5.312666687584327,318.1594553041952,261.292083712466,1.2462740422327514
227,97,Iwandy,Support,0.5333333333333333,6.466666666666667,2.933333333333333,1.3204951856946396,249.00738939893233,178.0518857362214,4.456671251719409
228,80,JackeyLove,Bot,5.111111111111111,6.444444444444445,2.3333333333333335,8.34932445662819,459.87076561582325,608.0595261405937,1.8445271196397175
229,16,Jackies,Mid,2.5384615384615383,3.5384615384615383,3.230769230769231,8.476708602516181,384.2213532811982,487.9360761645716,1.0124107446446822
230,65,Jane,Mid,4.857142857142857,6.857142857142857,1.8571428571428572,8.736942070275367,434.9435475361383,740.3334388519543,1.2219056663501056
231,22,Jankos,Jungle,1.9285714285714286,7.071428571428571,2.7857142857142856,5.588224631113375,327.3364028568326,300.44375158612235,1.4617699307544525
232,35,Jauny,Top,2.7142857142857144,2.857142857142857,1.7142857142857142,7.871964130028662,379.6896251089807,523.357827873958,0.9475650765973366
233,62,Jensen,Mid,3.7777777777777777,4.333333333333333,1.8888888888888888,9.96079392305806,469.0137221269291,603.954913011516,0.7865719186473894
234,82,JieJie,Jungle,1.5714285714285714,6.0,2.5714285714285716,6.026288430120299,324.88935095796796,311.0344571513439,1.7599881182236732
235,44,JimieN,Mid,3.888888888888889,4.555555555555555,1.5555555555555556,9.035634481947561,440.5268728684,684.2067505586273,1.5100552746089637
236,90,Jinjiao,Support,0.8125,7.5,2.875,2.4243100705974365,268.2763624187303,187.35329408153657,3.5828891927337807
237,42,Jiwoo,Bot,2.7222222222222223,2.6666666666666665,2.2222222222222223,8.450904776030827,399.02936814001663,608.2818154850175,1.7086917828537476
238,11,JNX,Top,2.8,4.2,3.2,7.855291800559776,377.48937493521385,353.7742303306735,1.0013475691924971
239,60,JoJo,Support,0.625,9.875,2.75,1.3283177109028155,254.46719289590592,229.07005426739082,3.311544153922061
240,61,Jojopyun,Mid,3.111111111111111,4.888888888888889,2.3333333333333335,9.438396405736995,424.8868152756177,615.2030412994643,1.2821842059789181
241,43,Jool,Mid,2.8,3.0,3.55,8.71403405754552,398.61253250566284,578.8373458602474,1.1307776193272392
242,37,Josedeodo,Jungle,2.736842105263158,9.736842105263158,1.1578947368421053,5.911199078313801,365.32451035420013,341.25786535109825,1.7618386458302602
243,2,JP6RU8,Top,2.6666666666666665,3.1666666666666665,3.8333333333333335,7.270588235294132,383.59572192513446,602.5860962566857,0.7893048128342262
244,18,Jun,Support,0.8636363636363636,10.090909090909092,3.8636363636363638,1.2767674955714496,261.3821557503865,190.2827544453661,3.816848666950688
245,49,JunJia,Jungle,3.1875,7.6875,2.5625,6.000619472072138,354.58787899645546,403.90611556595684,1.4681488109577736
246,91,Jwei,Support,0.375,7.25,2.3125,1.4783847980997595,246.98147268408502,187.78147268408514,3.089786223277904
247,10,K1ller,Bot,3.5,5.25,4.25,8.932981823227466,415.4627445539082,748.613847648124,0.8325239350631376
248,86,k1ng,Bot,4.7,8.9,2.2,8.099814011159305,436.59330440173454,605.4804711717278,1.3205207687538707
249,9,K1thy1,Jungle,4.0,10.2,1.6,6.13664855829504,391.59214375261257,361.5169243627253,1.7801922273297153
250,70,Kabbie,Support,0.4,8.3,2.9,1.5842134519177322,241.14230127848808,251.29516397998893,4.035575319622013
251,87,Kael,Support,0.4666666666666667,8.733333333333333,1.8,2.952127659574474,269.7217675941086,170.3968903436992,2.929623567921446
252,101,Kairi,Support,0.9166666666666666,8.666666666666666,2.75,1.1900346690316839,250.4732725953394,150.62646133999814,3.9256631460130547
253,22,Kaiser,Support,0.5,9.571428571428571,2.5714285714285716,1.2551209078055343,251.36134575644456,247.83526084907407,3.5956929993111753
254,44,Kaiwing,Support,0.8823529411764706,10.529411764705882,1.7058823529411764,1.826486817903129,271.6830165542615,197.14469650521175,3.206008583690991
255,45,Kakkun,Mid,3.2,5.6,3.35,8.28468551290891,398.2854516203172,654.3354018233357,0.9162644602773309
256,99,Kanavi,Jungle,2.1,8.2,2.2,6.258868648130386,349.78619367209933,299.66059443911763,1.4266538830297204
257,32,Karis,Mid,1.2941176470588236,2.2941176470588234,2.8823529411764706,9.237204880367624,378.9307558231664,459.1126604341632,1.0286800823958182
258,66,Karsa,Jungle,1.875,8.375,1.9375,5.91975267155048,341.5632771019542,273.9680086027274,1.7501176154311364
